,index,i,dtime,fuellevel,ingection,speed,height,tachometer,refuel
0,16,16,2020-01-09 10:18:27,49.7769230769231,1,0,-22.9,832,0
1,17,17,2020-01-09 10:19:27,49.80000000000002,1,0,-22.9,832,0
2,18,18,2020-01-09 10:20:27,49.819230769230785,1,0,-22.9,832,0
3,19,19,2020-01-09 10:21:27,49.80384615384617,1,0,-22.9,832,0
4,20,20,2020-01-09 10:22:27,49.76153846153848,1,0,-22.9,832,0
5,21,21,2020-01-09 10:23:27,49.7269230769231,1,0,-22.9,832,0
6,26,25,2020-01-14 09:34:09,49.70769230769233,1,0,-22.9,1248,0
7,27,26,2020-01-14 09:45:40,49.68076923076925,1,0,-22.9,1248,0
8,28,27,2020-01-14 09:46:40,49.638461538461556,1,0,-22.9,1056,0
9,29,28,2020-01-14 09:47:40,49.592307692307706,1,0,-22.9,928,0
10,32,30,2020-01-14 09:56:57,49.553846153846166,1,0,-22.9,1088,0
11,33,31,2020-01-14 09:57:57,49.5346153846154,1,0,-22.9,864,0
12,34,32,2020-01-14 09:58:57,49.51923076923078,1,0,-22.9,1024,0
13,35,33,2020-01-14 09:59:57,49.50000000000001,1,0,-22.9,832,0
14,36,34,2020-01-14 10:00:57,49.48076923076924,1,0,-22.9,832,0
15,37,35,2020-01-14 10:01:57,49.45000000000001,1,16,-22.3,1536,0
16,47,36,2020-01-14 10:04:03,49.40384615384616,1,3,-68.9,960,0
17,48,37,2020-01-14 10:05:03,49.35769230769232,1,0,-33.1,832,0
18,54,38,2020-01-14 10:06:03,49.31153846153847,1,41,-12.7,2656,0
19,57,39,2020-01-14 10:07:03,49.284615384615385,1,51,1.6,2176,0
20,58,40,2020-01-14 10:08:03,49.28076923076923,1,34,8.1,1344,0
21,63,41,2020-01-14 10:09:03,49.26923076923077,1,20,5.7,2368,0
22,70,42,2020-01-14 10:10:03,49.23846153846154,1,48,15.4,2016,0
23,74,43,2020-01-14 10:11:03,49.19615384615385,1,34,9.8,2080,0
24,78,44,2020-01-14 10:12:03,49.150000000000006,1,30,0.9,960,0
25,79,45,2020-01-14 10:13:03,49.09615384615385,1,1,6.9,992,0
26,81,46,2020-01-14 10:14:03,49.03461538461538,1,6,9.5,1120,0
27,83,47,2020-01-14 10:15:03,48.96153846153846,1,6,17.6,1280,0
28,87,48,2020-01-14 10:16:03,48.880769230769225,1,5,30.5,800,0
29,89,49,2020-01-14 10:17:03,48.81923076923076,1,6,23.5,1440,0
30,91,50,2020-01-14 10:18:03,48.79615384615384,1,1,23.8,832,0
