,dtime,fuellevel,ingection,speed,height,tachometer
0,2020-01-08 21:16:02,0.0,0,0,-22.9,0
1,2020-01-08 21:17:04,0.0,0,0,-22.9,0
2,2020-01-08 21:18:04,0.0,0,0,-22.9,0
3,2020-01-09 10:05:26,49.7,1,0,-22.9,1248
4,2020-01-09 10:06:27,49.9,1,0,-22.9,1056
5,2020-01-09 10:07:27,50.3,1,0,-22.9,960
6,2020-01-09 10:08:27,50.4,1,0,-22.9,864
7,2020-01-09 10:09:27,50.1,1,0,-22.9,864
8,2020-01-09 10:10:27,49.7,1,0,-22.9,864
9,2020-01-09 10:11:27,49.7,1,0,-22.9,832
10,2020-01-09 10:12:27,49.7,1,0,-22.9,832
11,2020-01-09 10:13:27,49.7,1,0,-22.9,832
12,2020-01-09 10:14:27,49.7,1,0,-22.9,832
13,2020-01-09 10:15:27,49.7,1,0,-22.9,832
14,2020-01-09 10:16:27,49.7,1,0,-22.9,832
15,2020-01-09 10:17:27,49.7,1,0,-22.9,832
16,2020-01-09 10:18:27,49.7,1,0,-22.9,832
17,2020-01-09 10:19:27,49.7,1,0,-22.9,832
18,2020-01-09 10:20:27,49.7,1,0,-22.9,832
19,2020-01-09 10:21:27,49.7,1,0,-22.9,832
20,2020-01-09 10:22:27,49.7,1,0,-22.9,832
21,2020-01-09 10:23:27,49.7,1,0,-22.9,832
22,2020-01-10 04:44:17,0.0,0,0,-22.9,0
23,2020-01-10 04:45:48,0.0,0,0,-22.9,0
24,2020-01-10 04:46:48,0.0,0,0,-22.9,0
25,2020-01-14 09:34:09,49.7,1,0,-22.9,1248
26,2020-01-14 09:45:40,49.7,1,0,-22.9,1248
27,2020-01-14 09:46:40,49.7,1,0,-22.9,1056
28,2020-01-14 09:47:40,49.6,1,0,-22.9,928
29,2020-01-14 09:55:57,0.0,1,0,-22.9,960
30,2020-01-14 09:56:57,49.7,1,0,-22.9,1088
31,2020-01-14 09:57:57,49.7,1,0,-22.9,864
32,2020-01-14 09:58:57,49.9,1,0,-22.9,1024
33,2020-01-14 09:59:57,50.3,1,0,-22.9,832
34,2020-01-14 10:00:57,50.4,1,0,-22.9,832
35,2020-01-14 10:01:57,49.9,1,16,-22.3,1536
36,2020-01-14 10:04:03,49.3,1,3,-68.9,960
37,2020-01-14 10:05:03,49.2,1,0,-33.1,832
38,2020-01-14 10:06:03,49.2,1,41,-12.7,2656
39,2020-01-14 10:07:03,49.0,1,51,1.6,2176
40,2020-01-14 10:08:03,48.6,1,34,8.1,1344
41,2020-01-14 10:09:03,48.5,1,20,5.7,2368
42,2020-01-14 10:10:03,48.7,1,48,15.4,2016
43,2020-01-14 10:11:03,49.2,1,34,9.8,2080
44,2020-01-14 10:12:03,49.3,1,30,0.9,960
45,2020-01-14 10:13:03,49.2,1,1,6.9,992
46,2020-01-14 10:14:03,49.2,1,6,9.5,1120
47,2020-01-14 10:15:03,48.9,1,6,17.6,1280
48,2020-01-14 10:16:03,48.5,1,5,30.5,800
49,2020-01-14 10:17:03,48.5,1,6,23.5,1440
50,2020-01-14 10:18:03,48.5,1,1,23.8,832
51,2020-01-14 10:19:03,49.0,1,8,16.1,800
52,2020-01-14 10:20:03,49.6,1,1,15.7,832
53,2020-01-14 10:21:03,49.4,1,0,19.3,864
54,2020-01-14 10:22:03,48.9,1,0,19.2,832
55,2020-01-14 10:23:03,48.5,1,48,10.2,864
56,2020-01-14 10:24:03,48.5,1,19,4.8,2048
57,2020-01-14 10:25:03,48.3,1,0,2.0,832
58,2020-01-14 10:26:03,48.3,1,0,28.6,1088
59,2020-01-14 10:27:03,48.4,1,0,36.2,832
60,2020-01-14 10:28:03,48.3,1,50,36.0,2080
61,2020-01-14 10:29:03,48.3,1,0,30.6,832
62,2020-01-14 10:30:03,48.7,1,51,11.7,1984
63,2020-01-14 10:31:03,49.0,1,0,8.1,832
64,2020-01-14 10:32:03,48.8,1,7,-0.5,896
65,2020-01-14 10:33:03,49.0,1,26,4.5,1024
66,2020-01-14 10:34:03,49.2,1,20,10.5,2112
67,2020-01-14 10:35:03,49.3,1,21,12.8,1056
68,2020-01-14 10:36:03,49.4,1,0,13.1,832
69,2020-01-14 10:37:03,49.9,1,0,13.2,704
70,2020-01-14 10:38:03,50.9,1,1,13.9,832
71,2020-01-14 10:39:03,0.0,1,0,14.4,0
72,2020-01-14 10:41:03,51.5,1,0,26.8,928
73,2020-01-14 10:56:22,50.8,1,1,25.7,832
74,2020-01-14 11:02:11,50.5,1,0,2.2,832
75,2020-01-14 11:03:11,50.4,1,0,3.2,832
76,2020-01-14 11:04:11,50.4,1,1,3.2,832
77,2020-01-14 11:05:11,50.4,1,14,0.9,1504
78,2020-01-14 11:06:11,50.4,1,0,0.6,832
79,2020-01-14 11:07:11,49.8,1,26,-3.1,1184
