i,dtime,fuellevel,ingection,speed,height,tachometer,refuel
0,2020-01-09 08:17:06,0.0,0,0,1.5,0,0
1,2020-01-09 08:18:06,0.0,0,0,1.5,0,0
33352,2020-01-09 08:19:00,,1,0,1.5,0,0
2,2020-01-09 08:19:06,39.6,1,0,1.5,1280,0
3,2020-01-09 08:20:06,39.6,1,0,1.5,1248,0
33353,2020-01-09 08:20:28,,0,0,1.5,0,0
4,2020-01-09 10:09:14,0.0,0,0,1.5,1248,0
33354,2020-01-09 10:09:15,,1,0,1.5,1248,0
5,2020-01-09 10:10:14,39.3,1,0,1.5,1408,0
6,2020-01-09 10:11:14,39.0,1,0,1.5,992,0
33355,2020-01-09 10:12:02,,1,32,1.9,1856,0
7,2020-01-09 10:12:14,38.7,1,1,2.4,1248,0
33356,2020-01-09 10:12:19,,1,11,5.4,2400,0
33357,2020-01-09 10:12:24,,1,34,7.0,3392,0
33358,2020-01-09 10:12:33,,1,30,7.4,1760,0
33359,2020-01-09 10:12:35,,1,34,8.0,1856,0
33360,2020-01-09 10:12:41,,1,26,9.7,1280,0
33361,2020-01-09 10:12:43,,1,21,9.6,1344,0
33362,2020-01-09 10:12:46,,1,31,9.4,1824,0
33363,2020-01-09 10:13:07,,1,31,-1.0,1888,0
8,2020-01-09 10:13:36,38.7,1,37,-1.3,2304,0
33364,2020-01-09 10:13:40,,1,46,-3.0,1984,0
9,2020-01-09 10:14:36,38.7,1,1,-16.1,928,0
33365,2020-01-09 10:15:02,,1,16,-14.1,1728,0
33366,2020-01-09 10:15:06,,1,20,-7.9,2080,0
33367,2020-01-09 10:15:08,,1,21,-5.7,2688,0
33368,2020-01-09 10:15:10,,1,31,-4.5,1952,0
33369,2020-01-09 10:15:22,,1,48,-1.8,2016,0
10,2020-01-09 10:15:36,38.5,1,54,2.0,2272,0
33370,2020-01-09 10:16:15,,1,8,5.6,1760,0
33371,2020-01-09 10:16:33,,1,51,10.6,2208,0
11,2020-01-09 10:16:36,38.4,1,53,10.9,2208,0
33372,2020-01-09 10:17:26,,1,18,15.4,1664,0
33373,2020-01-09 10:17:28,,1,22,18.3,2112,0
33374,2020-01-09 10:17:34,,1,27,30.0,2400,0
12,2020-01-09 10:17:36,38.2,1,21,33.6,2048,0
33375,2020-01-09 10:17:41,,1,12,41.7,1120,0
33376,2020-01-09 10:17:48,,1,9,41.4,1984,0
33377,2020-01-09 10:17:54,,1,25,41.5,2176,0
33378,2020-01-09 10:18:03,,1,5,40.7,800,0
33379,2020-01-09 10:18:09,,1,11,39.3,2112,0
33380,2020-01-09 10:18:13,,1,15,37.3,1536,0
33381,2020-01-09 10:18:31,,1,10,33.0,1088,0
33382,2020-01-09 10:18:34,,1,16,33.8,1632,0
13,2020-01-09 10:18:36,37.8,1,17,33.6,1472,0
33383,2020-01-09 10:18:40,,1,9,31.8,864,0
14,2020-01-09 10:19:36,38.2,1,0,27.5,832,0
15,2020-01-09 10:20:36,39.6,1,0,27.0,832,0
33384,2020-01-09 10:20:58,,1,7,25.8,1504,0
33385,2020-01-09 10:21:06,,1,11,26.5,2208,0
33386,2020-01-09 10:21:13,,1,7,27.2,1120,0
33387,2020-01-09 10:21:16,,1,12,26.1,1440,0
16,2020-01-09 10:21:36,40.8,1,7,22.5,1280,0
33388,2020-01-09 10:21:43,,1,13,22.1,1504,0
33389,2020-01-09 10:21:45,,1,21,22.8,2112,0
33390,2020-01-09 10:22:03,,1,12,19.5,2304,0
33391,2020-01-09 10:22:06,,1,15,17.6,1632,0
33392,2020-01-09 10:22:09,,1,21,17.0,2144,0
33393,2020-01-09 10:22:19,,1,8,14.8,896,0
33394,2020-01-09 10:22:29,,1,15,14.4,3136,0
33395,2020-01-09 10:22:33,,1,33,14.7,3328,0
17,2020-01-09 10:22:36,40.2,1,40,15.0,2464,0
33396,2020-01-09 10:22:48,,1,58,13.1,2496,0
33397,2020-01-09 10:22:54,,1,58,10.3,2464,0
33398,2020-01-09 10:23:05,,1,34,8.3,1344,0
33399,2020-01-09 10:23:24,,1,37,7.4,2304,0
18,2020-01-09 10:23:36,38.8,1,57,7.0,2432,0
19,2020-01-09 10:24:36,37.7,1,3,12.8,928,0
20,2020-01-09 10:25:36,36.9,1,1,15.4,864,0
33400,2020-01-09 10:25:43,,1,16,11.8,1664,0
33401,2020-01-09 10:25:45,,1,23,11.1,2304,0
33402,2020-01-09 10:25:48,,1,25,10.3,2432,0
33403,2020-01-09 10:26:34,,1,14,4.9,1120,0
21,2020-01-09 10:26:36,37.0,1,6,5.0,1312,0
33404,2020-01-09 10:26:40,,1,17,5.2,1952,0
33405,2020-01-09 10:26:44,,1,35,6.2,2112,0
33406,2020-01-09 10:26:52,,1,55,5.9,2304,0
33407,2020-01-09 10:26:56,,1,50,5.2,2144,0
33408,2020-01-09 10:27:01,,1,48,3.9,1984,0
33409,2020-01-09 10:27:08,,1,31,1.0,1312,0
22,2020-01-09 10:27:36,37.3,1,0,0.4,832,0
33410,2020-01-09 10:28:10,,1,17,0.3,3008,0
23,2020-01-09 10:28:36,37.7,1,0,-1.4,800,0
33411,2020-01-09 10:29:12,,1,3,-0.5,1984,0
33412,2020-01-09 10:29:23,,1,4,0.9,1472,0
24,2020-01-09 10:29:36,38.2,1,4,4.2,832,0
25,2020-01-09 10:30:36,38.2,1,0,13.6,832,0
26,2020-01-09 10:31:36,0.0,0,0,26.4,0,0
27,2020-01-09 10:32:36,0.0,0,0,13.9,0,0
28,2020-01-09 10:33:36,0.0,0,0,13.3,0,0
29,2020-01-09 10:34:36,0.0,0,0,12.7,0,0
30,2020-01-09 10:35:36,0.0,0,0,12.8,0,0
31,2020-01-09 10:36:36,0.0,0,0,12.5,0,0
32,2020-01-09 10:37:36,0.0,0,0,12.3,0,0
33,2020-01-09 10:38:36,0.0,0,0,12.2,0,0
34,2020-01-09 10:39:36,0.0,0,0,11.3,0,0
35,2020-01-09 10:40:36,0.0,0,0,12.6,0,0
36,2020-01-09 10:41:36,0.0,0,0,12.5,0,0
37,2020-01-09 10:42:36,0.0,0,0,13.3,0,0
38,2020-01-09 10:43:36,0.0,0,0,13.6,0,0
39,2020-01-09 10:44:36,0.0,0,0,13.5,0,0
40,2020-01-09 10:45:36,0.0,0,0,13.8,0,0
41,2020-01-09 10:46:36,0.0,0,0,12.6,0,0
42,2020-01-09 10:47:36,0.0,0,0,12.9,0,0
43,2020-01-09 10:48:36,0.0,0,0,12.9,0,0
33413,2020-01-09 10:49:35,,1,0,13.0,896,0
44,2020-01-09 10:49:36,0.0,1,0,13.0,864,0
45,2020-01-09 10:50:36,38.7,1,1,12.6,928,0
33414,2020-01-09 10:50:46,,1,6,11.6,1536,0
33415,2020-01-09 10:50:54,,1,9,16.3,1792,0
33416,2020-01-09 10:51:01,,1,8,20.4,1664,0
33417,2020-01-09 10:51:17,,1,8,18.0,1824,0
33418,2020-01-09 10:51:24,,1,4,13.3,2048,0
33419,2020-01-09 10:51:31,,1,10,11.6,2112,0
46,2020-01-09 10:51:36,38.7,1,10,10.6,1760,0
33420,2020-01-09 10:51:56,,1,9,10.9,1664,0
33421,2020-01-09 10:52:17,,1,8,14.3,1248,0
33422,2020-01-09 10:52:24,,1,16,14.2,2944,0
47,2020-01-09 10:52:36,38.6,1,51,13.0,2624,0
33423,2020-01-09 10:52:46,,1,36,15.2,1568,0
33424,2020-01-09 10:52:53,,1,41,13.8,1728,0
33425,2020-01-09 10:53:17,,1,34,7.9,2112,0
33426,2020-01-09 10:53:21,,1,26,9.0,1056,0
48,2020-01-09 10:53:36,38.4,1,0,8.1,832,0
49,2020-01-09 10:54:36,38.4,1,0,6.8,832,0
33427,2020-01-09 10:55:02,,1,17,6.6,3072,0
33428,2020-01-09 10:55:10,,1,35,9.8,2080,0
33429,2020-01-09 10:55:13,,1,33,9.5,1920,0
33430,2020-01-09 10:55:35,,1,6,12.3,1952,0
50,2020-01-09 10:55:36,38.5,1,11,11.6,2560,0
33431,2020-01-09 10:55:41,,1,21,9.3,1760,0
33432,2020-01-09 10:55:49,,1,9,9.4,800,0
33433,2020-01-09 10:56:08,,1,14,8.3,1568,0
51,2020-01-09 10:56:36,38.8,1,17,6.1,1088,0
52,2020-01-09 10:57:36,0.0,0,0,9.1,0,0
53,2020-01-09 10:58:36,0.0,0,0,9.1,0,0
54,2020-01-09 10:59:36,0.0,0,0,9.1,0,0
55,2020-01-09 11:00:36,0.0,0,0,9.1,0,0
56,2020-01-09 11:01:36,0.0,0,0,9.1,0,0
57,2020-01-09 11:02:36,0.0,0,0,9.1,0,0
58,2020-01-09 11:03:36,0.0,0,0,9.1,0,0
59,2020-01-09 11:04:36,0.0,0,0,9.1,0,0
60,2020-01-09 11:05:36,0.0,0,0,9.1,0,0
61,2020-01-09 11:06:36,0.0,0,0,9.1,0,0
62,2020-01-09 11:07:36,0.0,0,0,9.1,0,0
63,2020-01-09 11:08:36,0.0,0,0,9.1,0,0
64,2020-01-09 11:09:36,0.0,0,0,9.1,0,0
