i,dtime,fuellevel,ingection,speed,height,tachometer,refuel
0,2020-01-09 10:21:36,38.580769230769235,1,7,22.5,1280,0
1,2020-01-09 10:22:36,38.53461538461539,1,40,15.0,2464,0
2,2020-01-09 10:23:36,38.48846153846154,1,57,7.0,2432,0
3,2020-01-09 10:24:36,38.45769230769232,1,3,12.8,928,0
4,2020-01-09 10:25:36,38.45000000000001,1,1,15.4,864,0
5,2020-01-09 10:26:36,38.43846153846155,1,6,5.0,1312,0
6,2020-01-09 10:27:36,38.423076923076934,1,0,0.4,832,0
7,2020-01-09 10:28:36,38.39615384615385,1,0,-1.4,800,0
8,2020-01-09 10:29:36,38.36538461538463,1,4,4.2,832,0
9,2020-01-09 10:30:36,38.33846153846155,1,0,13.6,832,0
10,2020-01-09 10:50:36,38.31923076923078,1,1,12.6,928,0
11,2020-01-09 10:51:36,38.32307692307693,1,10,10.6,1760,0
12,2020-01-09 10:52:36,38.307692307692314,1,51,13.0,2624,0
13,2020-01-09 10:53:36,38.219230769230776,1,0,8.1,832,0
14,2020-01-09 10:54:36,38.07307692307693,1,0,6.8,832,0
15,2020-01-09 10:55:36,37.9423076923077,1,11,11.6,2560,0
16,2020-01-09 10:56:36,37.842307692307706,1,17,6.1,1088,0
17,2020-01-09 15:42:33,37.79615384615386,1,0,9.1,1760,0
18,2020-01-09 15:43:33,37.788461538461554,1,0,9.1,1088,1
19,2020-01-09 15:44:33,37.757692307692324,1,0,9.1,896,1
20,2020-01-09 15:45:33,37.71923076923078,1,0,9.1,1696,1
21,2020-01-09 15:46:33,37.66923076923078,1,0,9.1,1472,1
22,2020-01-09 15:47:33,37.592307692307706,1,0,9.1,2112,1
23,2020-01-09 15:48:33,37.50000000000001,1,61,23.5,2624,1
24,2020-01-09 15:49:33,37.38846153846154,1,36,0.9,1920,1
25,2020-01-09 15:50:33,37.27307692307693,1,61,-7.3,2176,1
26,2020-01-09 15:51:33,37.16538461538462,1,73,16.2,2688,1
27,2020-01-09 15:52:33,37.073076923076925,1,61,10.8,2144,1
28,2020-01-09 15:53:33,36.96538461538462,1,83,9.3,3072,1
29,2020-01-09 15:54:33,36.8423076923077,1,91,17.6,3328,1
30,2020-01-09 15:55:33,36.70769230769231,1,94,19.5,3424,1
31,2020-01-09 15:56:33,36.57692307692308,1,94,15.2,3424,1
32,2020-01-09 15:57:33,36.44615384615385,1,94,17.6,3456,1
33,2020-01-09 15:58:33,36.307692307692314,1,91,29.6,3296,1
34,2020-01-09 15:59:33,36.17307692307693,1,86,15.3,3136,1
35,2020-01-09 16:00:33,36.05384615384616,1,90,27.5,3296,1
36,2020-01-09 16:01:33,35.94230769230769,1,92,17.3,3328,1
37,2020-01-09 16:02:33,35.81153846153846,1,96,17.1,3488,1
38,2020-01-09 16:03:33,35.66538461538462,1,97,28.6,3456,1
39,2020-01-09 16:04:33,35.53076923076923,1,93,12.6,3392,1
40,2020-01-09 16:05:33,35.40769230769231,1,95,10.2,3488,1
41,2020-01-09 16:06:33,35.28846153846154,1,98,13.4,3552,1
42,2020-01-09 16:07:33,35.18076923076923,1,83,8.9,3040,1
43,2020-01-09 16:08:33,35.065384615384616,1,97,10.1,3552,1
44,2020-01-09 16:09:33,34.965384615384615,1,98,17.0,3616,1
45,2020-01-09 16:10:33,34.896153846153844,1,93,17.0,3392,1
46,2020-01-09 16:11:33,34.815384615384616,1,93,15.0,3392,1
47,2020-01-09 16:12:33,34.71153846153847,1,95,12.1,3456,1
48,2020-01-09 16:13:33,34.611538461538466,1,89,25.4,3264,1
49,2020-01-09 16:14:33,34.557692307692314,1,82,13.3,2944,1
50,2020-01-09 16:15:33,34.53846153846154,1,58,12.7,2432,1
51,2020-01-09 16:16:33,34.534615384615385,1,80,11.5,2944,1
52,2020-01-09 16:17:33,34.51538461538462,1,55,21.7,2336,1
53,2020-01-09 16:18:33,34.46538461538462,1,76,29.2,2752,1
54,2020-01-09 16:19:33,34.407692307692315,1,67,20.8,2432,1
55,2020-01-09 16:20:33,34.338461538461544,1,47,24.3,1920,1
56,2020-01-09 16:21:33,34.26153846153847,1,70,27.2,3008,1
57,2020-01-09 16:22:33,34.20384615384616,1,52,18.6,2112,1
58,2020-01-09 16:23:33,34.134615384615394,1,37,20.1,928,1
59,2020-01-09 16:24:33,34.06923076923078,1,44,13.7,2432,1
60,2020-01-09 16:25:33,34.02692307692309,1,20,17.2,2048,1
61,2020-01-09 16:29:33,33.976923076923086,1,0,61.1,832,1
62,2020-01-09 16:30:33,33.907692307692315,1,6,43.2,2176,1
63,2020-01-09 16:31:33,33.85000000000001,1,0,36.3,960,1
64,2020-01-09 16:32:33,33.81153846153847,1,13,41.2,1184,1
65,2020-01-09 16:33:33,33.765384615384626,1,4,42.4,1024,1
66,2020-01-09 16:34:33,33.72307692307694,1,1,26.5,928,1
67,2020-01-09 16:35:33,33.69230769230771,1,21,26.7,896,1
68,2020-01-09 16:36:33,33.67692307692309,1,24,27.4,2624,1
69,2020-01-09 16:37:33,33.646153846153865,1,37,34.8,2336,1
70,2020-01-09 16:38:33,33.58846153846155,1,55,32.1,1952,1
71,2020-01-09 16:39:33,33.51923076923079,1,11,28.4,2080,1
72,2020-01-09 16:40:33,33.43846153846155,1,54,27.8,2240,1
73,2020-01-09 16:41:33,33.37692307692309,1,53,26.4,2304,1
74,2020-01-09 16:42:33,33.30384615384617,1,73,22.3,2592,1
75,2020-01-09 16:43:33,33.21153846153848,1,66,18.0,2432,1
76,2020-01-09 16:44:33,33.09230769230771,1,57,14.4,2112,1
77,2020-01-09 16:45:33,32.95384615384617,1,64,12.5,2720,1
78,2020-01-09 16:46:33,32.84615384615387,1,75,11.2,2752,1
79,2020-01-09 16:47:33,32.77307692307694,1,81,20.6,2976,1
80,2020-01-09 16:48:33,32.69615384615386,1,91,18.3,3328,1
81,2020-01-09 16:49:33,32.59615384615386,1,80,20.7,2912,1
82,2020-01-09 16:50:33,32.48076923076925,1,91,16.3,3328,1
83,2020-01-09 16:51:33,32.365384615384635,1,91,16.5,3328,1
84,2020-01-09 16:52:33,32.29230769230771,1,90,12.8,3296,1
85,2020-01-09 16:53:33,32.24615384615386,1,87,6.2,3200,1
86,2020-01-09 16:54:33,32.17307692307694,1,88,4.1,3200,1
87,2020-01-09 16:55:33,32.09230769230771,1,94,10.2,3392,1
88,2020-01-09 16:56:33,32.01538461538463,1,91,11.0,3296,1
89,2020-01-09 16:57:33,31.923076923076945,1,85,14.3,3104,1
90,2020-01-09 16:58:33,31.81923076923079,1,89,31.1,3264,1
91,2020-01-09 16:59:33,31.70769230769233,1,94,21.2,3424,1
92,2020-01-09 17:00:33,31.576923076923094,1,98,23.7,3552,1
93,2020-01-09 17:01:33,31.44230769230771,1,97,31.6,3520,1
94,2020-01-09 17:02:33,31.31153846153848,1,85,15.8,3008,1
95,2020-01-09 17:03:33,31.19230769230771,1,86,35.6,3136,1
96,2020-01-09 17:04:33,31.06538461538463,1,96,21.8,3552,1
97,2020-01-09 17:05:33,30.9346153846154,1,86,21.0,3104,1
98,2020-01-09 17:06:33,30.857692307692325,1,85,20.6,3104,1
99,2020-01-09 17:07:33,30.800000000000015,1,87,16.2,3200,1
100,2020-01-09 17:08:33,30.75384615384617,1,86,8.1,3136,1
101,2020-01-09 17:09:33,30.692307692307704,1,68,22.4,2528,1
102,2020-01-09 17:10:33,30.615384615384627,1,29,23.9,896,1
103,2020-01-09 17:11:33,30.573076923076936,1,51,19.8,2144,1
104,2020-01-09 17:12:33,30.526923076923087,1,60,14.0,2592,1
105,2020-01-09 17:13:33,30.46538461538463,1,0,6.0,864,1
106,2020-01-09 17:14:33,30.426923076923092,1,64,11.0,2752,1
107,2020-01-09 17:15:33,30.411538461538477,1,63,4.8,2656,1
108,2020-01-09 17:16:33,30.39615384615386,1,0,2.4,832,1
109,2020-01-09 17:17:33,30.36153846153848,1,0,2.6,832,1
110,2020-01-09 17:18:33,30.28846153846155,1,0,-1.2,832,1
111,2020-01-09 17:19:33,30.21538461538463,1,0,1.6,832,1
112,2020-01-09 17:20:33,30.157692307692322,1,4,3.5,1760,1
113,2020-01-09 17:21:33,30.084615384615397,1,7,3.1,864,1
114,2020-01-13 10:03:57,30.007692307692317,1,0,3.9,1248,0
115,2020-01-13 10:04:57,29.938461538461546,1,0,3.9,1120,0
116,2020-01-13 10:05:57,29.88076923076924,1,0,3.9,992,0
117,2020-01-13 10:06:57,29.850000000000005,1,0,3.9,2016,0
118,2020-01-13 10:07:57,31.00384615384616,1,0,3.9,864,0
