i,dtime,fuellevel,ingection,speed,height,tachometer
0,2020-01-09 08:17:06,0.0,0,0,1.5,0
1,2020-01-09 08:18:06,0.0,0,0,1.5,0
2,2020-01-09 08:19:06,39.6,1,0,1.5,1280
3,2020-01-09 08:20:06,39.6,1,0,1.5,1248
4,2020-01-09 10:09:14,0.0,0,0,1.5,1248
5,2020-01-09 10:10:14,39.3,1,0,1.5,1408
6,2020-01-09 10:11:14,39.0,1,0,1.5,992
7,2020-01-09 10:12:14,38.7,1,1,2.4,1248
8,2020-01-09 10:13:36,38.7,1,37,-1.3,2304
9,2020-01-09 10:14:36,38.7,1,1,-16.1,928
10,2020-01-09 10:15:36,38.5,1,54,2.0,2272
11,2020-01-09 10:16:36,38.4,1,53,10.9,2208
12,2020-01-09 10:17:36,38.2,1,21,33.6,2048
13,2020-01-09 10:18:36,37.8,1,17,33.6,1472
14,2020-01-09 10:19:36,38.2,1,0,27.5,832
15,2020-01-09 10:20:36,39.6,1,0,27.0,832
16,2020-01-09 10:21:36,40.8,1,7,22.5,1280
17,2020-01-09 10:22:36,40.2,1,40,15.0,2464
18,2020-01-09 10:23:36,38.8,1,57,7.0,2432
19,2020-01-09 10:24:36,37.7,1,3,12.8,928
20,2020-01-09 10:25:36,36.9,1,1,15.4,864
21,2020-01-09 10:26:36,37.0,1,6,5.0,1312
22,2020-01-09 10:27:36,37.3,1,0,0.4,832
23,2020-01-09 10:28:36,37.7,1,0,-1.4,800
24,2020-01-09 10:29:36,38.2,1,4,4.2,832
25,2020-01-09 10:30:36,38.2,1,0,13.6,832
26,2020-01-09 10:31:36,0.0,0,0,26.4,0
27,2020-01-09 10:32:36,0.0,0,0,13.9,0
28,2020-01-09 10:33:36,0.0,0,0,13.3,0
29,2020-01-09 10:34:36,0.0,0,0,12.7,0
30,2020-01-09 10:35:36,0.0,0,0,12.8,0
31,2020-01-09 10:36:36,0.0,0,0,12.5,0
32,2020-01-09 10:37:36,0.0,0,0,12.3,0
33,2020-01-09 10:38:36,0.0,0,0,12.2,0
34,2020-01-09 10:39:36,0.0,0,0,11.3,0
35,2020-01-09 10:40:36,0.0,0,0,12.6,0
36,2020-01-09 10:41:36,0.0,0,0,12.5,0
37,2020-01-09 10:42:36,0.0,0,0,13.3,0
38,2020-01-09 10:43:36,0.0,0,0,13.6,0
39,2020-01-09 10:44:36,0.0,0,0,13.5,0
40,2020-01-09 10:45:36,0.0,0,0,13.8,0
41,2020-01-09 10:46:36,0.0,0,0,12.6,0
42,2020-01-09 10:47:36,0.0,0,0,12.9,0
43,2020-01-09 10:48:36,0.0,0,0,12.9,0
44,2020-01-09 10:49:36,0.0,1,0,13.0,864
45,2020-01-09 10:50:36,38.7,1,1,12.6,928
46,2020-01-09 10:51:36,38.7,1,10,10.6,1760
47,2020-01-09 10:52:36,38.6,1,51,13.0,2624
48,2020-01-09 10:53:36,38.4,1,0,8.1,832
49,2020-01-09 10:54:36,38.4,1,0,6.8,832
50,2020-01-09 10:55:36,38.5,1,11,11.6,2560
51,2020-01-09 10:56:36,38.8,1,17,6.1,1088
52,2020-01-09 10:57:36,0.0,0,0,9.1,0
53,2020-01-09 10:58:36,0.0,0,0,9.1,0
54,2020-01-09 10:59:36,0.0,0,0,9.1,0
55,2020-01-09 11:00:36,0.0,0,0,9.1,0
56,2020-01-09 11:01:36,0.0,0,0,9.1,0
57,2020-01-09 11:02:36,0.0,0,0,9.1,0
58,2020-01-09 11:03:36,0.0,0,0,9.1,0
59,2020-01-09 11:04:36,0.0,0,0,9.1,0
60,2020-01-09 11:05:36,0.0,0,0,9.1,0
61,2020-01-09 11:06:36,0.0,0,0,9.1,0
62,2020-01-09 11:07:36,0.0,0,0,9.1,0
63,2020-01-09 11:08:36,0.0,0,0,9.1,0
64,2020-01-09 11:09:36,0.0,0,0,9.1,0
65,2020-01-09 11:10:36,0.0,0,0,9.1,0
66,2020-01-09 11:11:36,0.0,0,0,9.1,0
67,2020-01-09 11:12:36,0.0,0,0,9.1,0
68,2020-01-09 11:13:36,0.0,0,0,9.1,0
69,2020-01-09 11:14:36,0.0,0,0,9.1,0
70,2020-01-09 11:15:36,0.0,0,0,9.1,0
71,2020-01-09 11:16:36,0.0,0,0,9.1,0
72,2020-01-09 11:17:36,0.0,0,0,9.1,0
73,2020-01-09 11:18:36,0.0,0,0,9.1,0
74,2020-01-09 11:19:36,0.0,0,0,9.1,0
75,2020-01-09 11:20:36,0.0,0,0,9.1,0
76,2020-01-09 11:21:36,0.0,0,0,9.1,0
77,2020-01-09 11:22:36,0.0,0,0,9.1,0
78,2020-01-09 11:23:36,0.0,0,0,9.1,0
79,2020-01-09 11:24:36,0.0,0,0,9.1,0
80,2020-01-09 11:25:36,0.0,0,0,9.1,0
81,2020-01-09 11:26:36,0.0,0,0,9.1,0
82,2020-01-09 11:27:36,0.0,0,0,9.1,0
83,2020-01-09 11:28:36,0.0,0,0,9.1,0
84,2020-01-09 11:29:36,0.0,0,0,9.1,0
85,2020-01-09 11:30:36,0.0,0,0,9.1,0
86,2020-01-09 11:31:36,0.0,0,0,9.1,0
87,2020-01-09 11:32:36,0.0,0,0,9.1,0
88,2020-01-09 11:33:36,0.0,0,0,9.1,0
89,2020-01-09 11:34:36,0.0,0,0,9.1,0
90,2020-01-09 11:35:36,0.0,0,0,9.1,0
91,2020-01-09 11:36:36,0.0,0,0,9.1,0
92,2020-01-09 11:37:36,0.0,0,0,9.1,0
93,2020-01-09 11:38:36,0.0,0,0,9.1,0
94,2020-01-09 11:39:36,0.0,0,0,9.1,0
95,2020-01-09 11:40:36,0.0,0,0,9.1,0
96,2020-01-09 11:41:36,0.0,0,0,9.1,0
97,2020-01-09 11:42:36,0.0,0,0,9.1,0
98,2020-01-09 11:43:36,0.0,0,0,9.1,0
99,2020-01-09 11:44:36,0.0,0,0,9.1,0
100,2020-01-09 11:45:36,0.0,0,0,9.1,0
101,2020-01-09 11:46:36,0.0,0,0,9.1,0
102,2020-01-09 11:47:36,0.0,0,0,9.1,0
103,2020-01-09 11:48:36,0.0,0,0,9.1,0
104,2020-01-09 11:49:36,0.0,0,0,9.1,0
105,2020-01-09 11:50:36,0.0,0,0,9.1,0
106,2020-01-09 11:51:36,0.0,0,0,9.1,0
107,2020-01-09 11:52:36,0.0,0,0,9.1,0
108,2020-01-09 11:53:36,0.0,0,0,9.1,0
109,2020-01-09 11:54:36,0.0,0,0,9.1,0
110,2020-01-09 11:55:36,0.0,0,0,9.1,0
111,2020-01-09 11:56:36,0.0,0,0,9.1,0
112,2020-01-09 11:57:36,0.0,0,0,9.1,0
113,2020-01-09 11:58:36,0.0,0,0,9.1,0
114,2020-01-09 11:59:36,0.0,0,0,9.1,0
115,2020-01-09 12:00:36,0.0,0,0,9.1,0
116,2020-01-09 12:01:36,0.0,0,0,9.1,0
117,2020-01-09 12:02:36,0.0,0,0,9.1,0
118,2020-01-09 12:03:36,0.0,0,0,9.1,0
119,2020-01-09 12:04:36,0.0,0,0,9.1,0
120,2020-01-09 12:05:36,0.0,0,0,9.1,0
121,2020-01-09 12:06:36,0.0,0,0,9.1,0
122,2020-01-09 12:07:36,0.0,0,0,9.1,0
123,2020-01-09 12:08:36,0.0,0,0,9.1,0
124,2020-01-09 12:09:36,0.0,0,0,9.1,0
125,2020-01-09 12:10:36,0.0,0,0,9.1,0
126,2020-01-09 12:11:36,0.0,0,0,9.1,0
127,2020-01-09 12:12:36,0.0,0,0,9.1,0
128,2020-01-09 12:13:36,0.0,0,0,9.1,0
129,2020-01-09 12:14:36,0.0,0,0,9.1,0
130,2020-01-09 12:15:36,0.0,0,0,9.1,0
131,2020-01-09 12:16:36,0.0,0,0,9.1,0
132,2020-01-09 12:17:36,0.0,0,0,9.1,0
133,2020-01-09 12:18:36,0.0,0,0,9.1,0
134,2020-01-09 12:19:36,0.0,0,0,9.1,0
135,2020-01-09 12:20:36,0.0,0,0,9.1,0
136,2020-01-09 12:21:36,0.0,0,0,9.1,0
137,2020-01-09 12:22:36,0.0,0,0,9.1,0
138,2020-01-09 12:23:36,0.0,0,0,9.1,0
139,2020-01-09 12:24:36,0.0,0,0,9.1,0
140,2020-01-09 12:25:36,0.0,0,0,9.1,0
141,2020-01-09 12:26:36,0.0,0,0,9.1,0
142,2020-01-09 12:27:36,0.0,0,0,9.1,0
143,2020-01-09 12:28:36,0.0,0,0,9.1,0
144,2020-01-09 12:29:36,0.0,0,0,9.1,0
145,2020-01-09 12:30:36,0.0,0,0,9.1,0
146,2020-01-09 12:31:36,0.0,0,0,9.1,0
147,2020-01-09 12:32:36,0.0,0,0,9.1,0
148,2020-01-09 12:33:36,0.0,0,0,9.1,0
149,2020-01-09 12:34:36,0.0,0,0,9.1,0
150,2020-01-09 12:35:36,0.0,0,0,9.1,0
151,2020-01-09 12:36:36,0.0,0,0,9.1,0
152,2020-01-09 12:37:36,0.0,0,0,9.1,0
153,2020-01-09 12:38:36,0.0,0,0,9.1,0
154,2020-01-09 12:39:36,0.0,0,0,9.1,0
155,2020-01-09 12:40:36,0.0,0,0,9.1,0
156,2020-01-09 12:41:36,0.0,0,0,9.1,0
157,2020-01-09 12:42:36,0.0,0,0,9.1,0
158,2020-01-09 12:43:36,0.0,0,0,9.1,0
159,2020-01-09 12:44:36,0.0,0,0,9.1,0
160,2020-01-09 12:45:36,0.0,0,0,9.1,0
161,2020-01-09 12:46:36,0.0,0,0,9.1,0
162,2020-01-09 12:47:36,0.0,0,0,9.1,0
163,2020-01-09 12:48:36,0.0,0,0,9.1,0
164,2020-01-09 12:49:36,0.0,0,0,9.1,0
165,2020-01-09 12:50:36,0.0,0,0,9.1,0
166,2020-01-09 12:51:36,0.0,0,0,9.1,0
167,2020-01-09 12:52:36,0.0,0,0,9.1,0
168,2020-01-09 12:53:36,0.0,0,0,9.1,0
169,2020-01-09 12:54:36,0.0,0,0,9.1,0
170,2020-01-09 12:55:36,0.0,0,0,9.1,0
171,2020-01-09 12:56:36,0.0,0,0,9.1,0
172,2020-01-09 12:57:36,0.0,0,0,9.1,0
173,2020-01-09 12:58:36,0.0,0,0,9.1,0
174,2020-01-09 12:59:36,0.0,0,0,9.1,0
175,2020-01-09 13:00:36,0.0,0,0,9.1,0
176,2020-01-09 13:01:36,0.0,0,0,9.1,0
177,2020-01-09 13:02:36,0.0,0,0,9.1,0
178,2020-01-09 13:03:36,0.0,0,0,9.1,0
179,2020-01-09 13:04:36,0.0,0,0,9.1,0
180,2020-01-09 13:05:36,0.0,0,0,9.1,0
181,2020-01-09 13:06:36,0.0,0,0,9.1,0
182,2020-01-09 13:07:36,0.0,0,0,9.1,0
183,2020-01-09 13:08:36,0.0,0,0,9.1,0
184,2020-01-09 13:09:36,0.0,0,0,9.1,0
185,2020-01-09 13:10:36,0.0,0,0,9.1,0
186,2020-01-09 13:11:36,0.0,0,0,9.1,0
187,2020-01-09 13:12:36,0.0,0,0,9.1,0
188,2020-01-09 15:32:39,0.0,0,0,9.1,0
189,2020-01-09 15:42:33,38.4,1,0,9.1,1760
190,2020-01-09 15:43:33,38.3,1,0,9.1,1088
191,2020-01-09 15:44:33,38.0,1,0,9.1,896
192,2020-01-09 15:45:33,37.7,1,0,9.1,1696
193,2020-01-09 15:46:33,37.7,1,0,9.1,1472
194,2020-01-09 15:47:33,37.7,1,0,9.1,2112
195,2020-01-09 15:48:33,37.9,1,61,23.5,2624
196,2020-01-09 15:49:33,37.8,1,36,0.9,1920
197,2020-01-09 15:50:33,37.3,1,61,-7.3,2176
198,2020-01-09 15:51:33,37.0,1,73,16.2,2688
199,2020-01-09 15:52:33,36.8,1,61,10.8,2144
200,2020-01-09 15:53:33,36.2,1,83,9.3,3072
201,2020-01-09 15:54:33,36.5,1,91,17.6,3328
202,2020-01-09 15:55:33,36.7,1,94,19.5,3424
203,2020-01-09 15:56:33,36.2,1,94,15.2,3424
204,2020-01-09 15:57:33,36.3,1,94,17.6,3456
205,2020-01-09 15:58:33,36.4,1,91,29.6,3296
206,2020-01-09 15:59:33,36.2,1,86,15.3,3136
207,2020-01-09 16:00:33,35.8,1,90,27.5,3296
208,2020-01-09 16:01:33,35.8,1,92,17.3,3328
209,2020-01-09 16:02:33,35.7,1,96,17.1,3488
210,2020-01-09 16:03:33,35.8,1,97,28.6,3456
211,2020-01-09 16:04:33,36.0,1,93,12.6,3392
212,2020-01-09 16:05:33,35.6,1,95,10.2,3488
